country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho
Brazil,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.15571437753742914
Brazil,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.494066216256741
Brazil,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.23845225357213504
Brazil,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6216088929805722
Brazil,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.2882105750115173
Brazil,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7086609347418559
Brazil,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.32415042513744635
Brazil,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7579548265139172
Brazil,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6750990073863895
Brazil,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7561507394289194
Brazil,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7790743485079858
Brazil,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8746718001085289
Brazil,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8420743987222123
Brazil,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9440312039444748
Brazil,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8709015244459191
Brazil,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9712554366417436
Brazil,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103
Brazil,disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6406093641819525
Brazil,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388
Brazil,disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.733309391575435
Brazil,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812562
Brazil,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446
Brazil,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275
Brazil,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115484
Brazil,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177
Brazil,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.41043502288265377
Brazil,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674878
Brazil,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826
Brazil,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.47875182955853995
Brazil,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947
Brazil,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599
Brazil,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.652989862817791
Brazil,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393
Brazil,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984
Brazil,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867
