shock_multiplier,metric,estimate,ci_low,ci_high,n_rows,n_clusters
0.75,total_company_asset_loss,1134.0184094787487,1102.307271177353,1164.3788684536858,540,18
0.75,total_company_payment_shortfall,188.66786547886846,178.5612102583381,198.72287018529158,540,18
0.75,total_bank_incoming_shortfall,188.66786547886852,178.97796133061792,198.67616675319354,540,18
0.75,mean_loss_to_capital_ratio,0.14496636105350105,0.13443278362462904,0.1567912673173845,540,18
0.75,shocked_vulnerable_50_banks,1.2999999999999998,1.127777777777778,1.4722222222222223,540,18
1.0,total_company_asset_loss,1512.0245459716652,1471.609232233492,1552.6383016842835,540,18
1.0,total_company_payment_shortfall,400.0129608497637,385.4930061766243,415.01047143437376,540,18
1.0,total_bank_incoming_shortfall,400.118845239825,385.91804432062867,415.20461574435154,540,18
1.0,mean_loss_to_capital_ratio,0.30848289039634946,0.28915764749426853,0.330926303650605,540,18
1.0,shocked_vulnerable_50_banks,4.311111111111112,3.9850925925925913,4.65560185185185,540,18
1.25,total_company_asset_loss,1890.0306824645813,1837.89602098363,1941.0186230467082,540,18
1.25,total_company_payment_shortfall,669.2731069490702,649.835324787656,689.640451651122,540,18
1.25,total_bank_incoming_shortfall,669.7603288057659,650.584308993439,690.2994446313256,540,18
1.25,mean_loss_to_capital_ratio,0.516547558950188,0.48710187015557055,0.5509589948825281,540,18
1.25,shocked_vulnerable_50_banks,7.0740740740740735,6.733333333333333,7.435231481481481,540,18
1.5,total_company_asset_loss,2268.0368189574974,2204.7990679850172,2328.0679228635026,540,18
1.5,total_company_payment_shortfall,968.1262706751947,941.1288861284793,995.1225198640988,540,18
1.5,total_bank_incoming_shortfall,969.1937683162705,942.9508936851643,995.4751900210549,540,18
1.5,mean_loss_to_capital_ratio,0.7473179952691709,0.7034195258148503,0.7970624387294447,540,18
1.5,shocked_vulnerable_50_banks,9.47962962962963,9.061111111111112,9.89074074074074,540,18
