interbank_liability_scale,metric,n_runs,n_seed_clusters,n_common_support_configurations,mean,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,estimand,inference_status,ci_available,median,p90,p95,maximum,nonzero_share
0.5,firm_to_bank_incoming_shortfall,9240,20,77,561.0024819176476,544.7125667541753,577.6142655546655,mean_of_seed_level_means,main_inference,True,340.45995970112443,1497.8653367752836,1708.4910387020311,3208.80178683146,1.0
0.5,bank_to_bank_incoming_shortfall,9240,20,77,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0
0.5,bank_to_bank_shortfall_share,9240,20,77,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0
0.5,mean_loss_to_capital_ratio,9240,20,77,0.43352034228324055,0.40876116869858214,0.4612690064394043,mean_of_seed_level_means,main_inference,True,0.26226362104088136,1.1525220884177156,1.3080877813921927,2.697426625305312,1.0
1.0,firm_to_bank_incoming_shortfall,7440,20,62,561.0024819176476,544.2942884472695,577.8376979729214,mean_of_seed_level_means,main_inference,True,340.45995970112443,1487.5328579348345,1696.8275520809018,3208.80178683146,1.0
1.0,bank_to_bank_incoming_shortfall,7440,20,62,0.801518905452413,0.36893811464619286,1.28568462789827,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,146.09508549010437,0.03924731182795699
1.0,bank_to_bank_shortfall_share,7440,20,62,0.0004706142359291323,0.00020614182997788632,0.0007951541077906956,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0493061862393192,0.03924731182795699
1.0,mean_loss_to_capital_ratio,7440,20,62,0.43435705243243816,0.4098820368506862,0.4618048766237186,mean_of_seed_level_means,main_inference,True,0.2606656765876526,1.1223323691384994,1.3047998846875832,2.697426625305312,1.0
1.5,firm_to_bank_incoming_shortfall,4440,18,37,558.3103615199378,541.251448118169,576.3949379995644,mean_of_seed_level_means,main_inference,True,340.45995970112443,1474.6005455087409,1696.8275520809018,3208.80178683146,1.0
1.5,bank_to_bank_incoming_shortfall,4440,18,37,4.894829373546362,2.6412630977153975,7.685793990528096,mean_of_seed_level_means,main_inference,True,0.0,11.348895452987698,32.05743686277463,470.1498700091076,0.16306306306306306
1.5,bank_to_bank_shortfall_share,4440,18,37,0.0036675748545722075,0.0016239261063128287,0.006186079170750912,mean_of_seed_level_means,main_inference,True,0.0,0.015115144281517928,0.0285419914803296,0.1427301891629928,0.16306306306306306
1.5,mean_loss_to_capital_ratio,4440,18,37,0.4340865053858045,0.40878990214394934,0.46461382673052265,mean_of_seed_level_means,main_inference,True,0.26052900917034577,1.1484712719002568,1.3329303109692832,2.7846232431178533,1.0
2.0,firm_to_bank_incoming_shortfall,1440,7,12,550.5670202709615,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,323.28718070224807,1408.003480954746,1695.0673797168572,3038.8967385056176,1.0
2.0,bank_to_bank_incoming_shortfall,1440,7,12,4.658552951344389,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,35.2531342057743,293.3319510170817,0.09861111111111111
2.0,bank_to_bank_shortfall_share,1440,7,12,0.003223889726885712,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0339133130961058,0.0896740972408237,0.09861111111111111
2.0,mean_loss_to_capital_ratio,1440,7,12,0.42386219363976524,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.2433356744036323,1.1073971316896645,1.2662441725713127,2.60746242955073,1.0
3.0,firm_to_bank_incoming_shortfall,240,2,2,506.98466229107186,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,318.03100235644774,1393.465194656182,1544.4015759910144,2876.35352625618,1.0
3.0,bank_to_bank_incoming_shortfall,240,2,2,8.416851139089513,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,10.110305434336201,61.59781594514323,356.97656521689265,0.15416666666666667
3.0,bank_to_bank_shortfall_share,240,2,2,0.004373280824042648,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.007104197982120698,0.0383548189709351,0.1104052339593504,0.15416666666666667
3.0,mean_loss_to_capital_ratio,240,2,2,0.3901987524482131,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.2278231255097809,0.9474549112904566,1.315638435552024,2.6851876869629736,1.0
