country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho,p_value
Brazil,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.1557143775374291,0.0030536294151301
Brazil,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.238452253572135,4.768207377077718e-06
Brazil,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.2882105750115173,2.5770862907236266e-08
Brazil,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3241504251374463,2.9795906026200085e-10
Brazil,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6750990073863894,3.1665101066706973e-49
Brazil,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7790743485079858,1.371330014965636e-74
Brazil,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8420743987222123,5.150372198922228e-98
Brazil,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8709015244459191,1.7232114204413374e-112
Brazil,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103,7.989243875381861e-26
Brazil,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388,5.691352212560618e-36
Brazil,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812561,7.852401368021891e-47
Brazil,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275,2.9269479839515174e-57
Brazil,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177,2.2291605701335885e-11
Brazil,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674877,9.793389367125748e-17
Brazil,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4787518295585399,5.04485935248546e-22
Brazil,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599,6.9513503300822725e-28
Brazil,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393,1.4676354778102263e-40
Brazil,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867,1.1826300401992509e-55
Brazil,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576,9.92647348086319e-69
Brazil,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983,8.491892127215164e-77
Germany,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4180848308513592,1.1547513047026902e-16
Germany,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5212445054874395,1.813292362801896e-26
Germany,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6012528388850736,9.262501479466076e-37
