country,year,burned_area_km2,country_area_km2,burned_area_share,period
Brazil,2001,148991.45675906606,8503008.802000426,0.0175222042254048,baseline_2001_2020
Brazil,2002,230693.89818422453,8503008.802000426,0.02713085491925532,baseline_2001_2020
Brazil,2003,163611.7320122745,8503008.802000426,0.019241627972181218,baseline_2001_2020
Brazil,2004,204438.73156316648,8503008.802000426,0.024043104778989532,baseline_2001_2020
Brazil,2005,223379.59706121747,8503008.802000426,0.02627065339608551,baseline_2001_2020
Brazil,2006,124729.2194818536,8503008.802000426,0.014668833396069128,baseline_2001_2020
Brazil,2007,362418.0073990349,8503008.802000426,0.0426223253248629,baseline_2001_2020
Brazil,2008,151959.55100549708,8503008.802000426,0.01787126822328432,baseline_2001_2020
Brazil,2009,90398.80904191648,8503008.802000426,0.010631390740257634,baseline_2001_2020
Brazil,2010,361923.18079129554,8503008.802000426,0.0425641310292598,baseline_2001_2020
Brazil,2011,140775.94476425563,8503008.802000426,0.01655601541081982,baseline_2001_2020
Brazil,2012,239719.38552637747,8503008.802000426,0.028192301232239213,baseline_2001_2020
Brazil,2013,97607.37770788591,8503008.802000426,0.011479157552432818,baseline_2001_2020
Brazil,2014,157343.4370192514,8503008.802000426,0.01850444244891698,baseline_2001_2020
Brazil,2015,200134.56904293108,8503008.802000426,0.02353691189827385,baseline_2001_2020
Brazil,2016,158053.2258018823,8503008.802000426,0.018587917463368797,baseline_2001_2020
Brazil,2017,204465.3150853509,8503008.802000426,0.024046231145526772,baseline_2001_2020
Brazil,2018,86473.97516748658,8503008.802000426,0.010169808967755347,baseline_2001_2020
Brazil,2019,194030.6933374907,8503008.802000426,0.022819062975901288,baseline_2001_2020
Brazil,2020,214776.1493069184,8503008.802000426,0.025258841229987904,baseline_2001_2020
Brazil,2021,157097.62438083373,8503008.802000426,0.018475533548062986,recent_2021_2024
Brazil,2022,134729.92179438125,8503008.802000426,0.015844970284246272,recent_2021_2024
Brazil,2023,117417.7550715123,8503008.802000426,0.013808965485710012,recent_2021_2024
Brazil,2024,250680.13474396258,8503008.802000426,0.029481344848777215,recent_2021_2024
United States of America,2001,5097.4448994345585,3025909.4960854324,0.0016845992604964015,baseline_2001_2020
United States of America,2002,5342.101033780698,3025909.4960854324,0.0017654530119594401,baseline_2001_2020
United States of America,2003,13283.69242351826,3025909.4960854324,0.0043899833886978925,baseline_2001_2020
United States of America,2004,13464.144753528739,3025909.4960854324,0.004449619121440041,baseline_2001_2020
United States of America,2005,13924.016070015072,3025909.4960854324,0.004601597003488814,baseline_2001_2020
United States of America,2006,16363.176292238542,3025909.4960854324,0.005407688601859145,baseline_2001_2020
United States of America,2007,14939.689755415871,3025909.4960854324,0.004937255980307109,baseline_2001_2020
United States of America,2008,19121.635221761702,3025909.4960854324,0.006319301765799353,baseline_2001_2020
United States of America,2009,16144.562056231493,3025909.4960854324,0.0053354411548387146,baseline_2001_2020
United States of America,2010,15348.379249130941,3025909.4960854324,0.0050723193370412695,baseline_2001_2020
United States of America,2011,30379.437574111274,3025909.4960854324,0.010039770724607803,baseline_2001_2020
United States of America,2012,8109.478230222121,3025909.4960854324,0.002680013477175446,baseline_2001_2020
United States of America,2013,9483.408848440318,3025909.4960854324,0.003134068900840836,baseline_2001_2020
United States of America,2014,14204.298916612192,3025909.4960854324,0.004694224640554534,baseline_2001_2020
United States of America,2015,14328.74181911863,3025909.4960854324,0.0047353504252706435,baseline_2001_2020
United States of America,2016,17774.25012059118,3025909.4960854324,0.005874019082059601,baseline_2001_2020
United States of America,2017,16436.20937218229,3025909.4960854324,0.005431824512083238,baseline_2001_2020
United States of America,2018,13394.951396570834,3025909.4960854324,0.004426752159606774,baseline_2001_2020
United States of America,2019,14870.519226240503,3025909.4960854324,0.004914396562580025,baseline_2001_2020
United States of America,2020,14153.964564046017,3025909.4960854324,0.004677590186473442,baseline_2001_2020
United States of America,2021,13315.572558809681,3025909.4960854324,0.004400519108729396,recent_2021_2024
United States of America,2022,17386.048423578126,3025909.4960854324,0.00574572651497679,recent_2021_2024
United States of America,2023,12825.67961038517,3025909.4960854324,0.004238619703258651,recent_2021_2024
United States of America,2024,14435.203140569301,3025909.4960854324,0.004770533672353346,recent_2021_2024
Germany,2001,2.90372378125,356077.1254568263,8.154760791007541e-06,baseline_2001_2020
Germany,2002,9.977096359375,356077.1254568263,2.801948130359389e-05,baseline_2001_2020
Germany,2003,23.150170375,356077.1254568263,6.501448343613669e-05,baseline_2001_2020
Germany,2004,6.949364875,356077.1254568263,1.951645971665371e-05,baseline_2001_2020
Germany,2005,17.35156325637255,356077.1254568263,4.8729789182923506e-05,baseline_2001_2020
Germany,2006,32.690088140625,356077.1254568263,9.180620097032494e-05,baseline_2001_2020
Germany,2007,8.515979578125,356077.1254568263,2.3916109655175103e-05,baseline_2001_2020
Germany,2008,136.321022359375,356077.1254568263,0.00038284127963705345,baseline_2001_2020
Germany,2009,3.992457875,356077.1254568263,1.1212340219490112e-05,baseline_2001_2020
Germany,2010,0.0,356077.1254568263,0.0,baseline_2001_2020
Germany,2011,9.352468296875,356077.1254568263,2.6265288130700126e-05,baseline_2001_2020
Germany,2012,1.699347,356077.1254568263,4.772412712048931e-06,baseline_2001_2020
Germany,2013,4.507060484375,356077.1254568263,1.2657540072512949e-05,baseline_2001_2020
Germany,2014,25.591876903308822,356077.1254568263,7.187172405550041e-05,baseline_2001_2020
Germany,2015,40.9538164375,356077.1254568263,0.00011501389308554609,baseline_2001_2020
Germany,2016,2.82579615625,356077.1254568263,7.935910380720658e-06,baseline_2001_2020
Germany,2017,18.805886656495094,356077.1254568263,5.281408243331619e-05,baseline_2001_2020
