interbank_liability_scale,metric,n_paired_runs,n_seed_clusters,n_common_support_configurations,mean_scale0,mean_current_scale,mean_difference_vs_scale0,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,estimand,inference_status,ci_available,median_difference_vs_scale0,p05_difference_vs_scale0,p95_difference_vs_scale0,share_positive_difference,share_negative_difference,share_numerically_zero_difference
0.5,total_bank_incoming_shortfall,9240,20,77,561.0024819176476,561.0024819176476,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,total_bank_payment_shortfall,9240,20,77,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,mean_loss_to_capital_ratio,9240,20,77,0.43352034228324055,0.43352034228324055,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,median_loss_to_capital_ratio,9240,20,77,0.3403512092018557,0.3403512092018557,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,max_loss_to_capital_ratio,9240,20,77,1.2960285482058882,1.2960285482058884,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,shocked_vulnerable_25_banks,9240,20,77,8.810416666666667,8.810416666666667,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,shocked_vulnerable_50_banks,9240,20,77,5.585833333333333,5.585833333333333,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,shocked_bank_capital_breaches,9240,20,77,2.555416666666667,2.555416666666667,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,firm_to_bank_incoming_shortfall,9240,20,77,561.0024819176476,561.0024819176476,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,bank_to_bank_incoming_shortfall,9240,20,77,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,bank_to_bank_shortfall_share,9240,20,77,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,total_bank_incoming_shortfall,7440,20,62,561.0024819176476,561.8040008231002,0.8015189054524179,0.3830533118954036,1.2796324288844594,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.03924731182795699,0.0,0.960752688172043
1.0,total_bank_payment_shortfall,7440,20,62,0.0,0.8015189054524126,0.8015189054524126,0.3696467636073142,1.2997835920911962,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.03924731182795699,0.0,0.960752688172043
