metric,estimate,ci_low,ci_high,n_rows,n_clusters
total_company_asset_loss,1701.0276142181233,1654.485042458707,1745.5592524321753,2160,18
total_company_payment_shortfall,556.5200509882242,539.5468938830749,574.9232966215943,2160,18
firm_to_bank_incoming_shortfall,556.5200509882243,539.8094738879497,574.4080360242795,2160,18
bank_to_bank_incoming_shortfall,0.4151509719581443,3.6629804128157025e-14,1.148341052140341,2160,18
total_bank_incoming_shortfall,556.9352019601824,539.8106243481443,574.5123931352399,2160,18
total_bank_payment_shortfall,0.41515097195811124,0.0,1.1482266455505155,2160,18
mean_loss_to_capital_ratio,0.4293287014173023,0.4038430438300875,0.4572162957360717,2160,18
max_loss_to_capital_ratio,1.2876185896878278,1.181244084552526,1.409500637422362,2160,18
shocked_vulnerable_25_banks,8.756944444444445,8.410185185185188,9.104201388888889,2160,18
shocked_vulnerable_50_banks,5.541203703703704,5.2499768518518515,5.841678240740741,2160,18
