graph_id,seed_id,country,scenario_name,density_label,interbank_liability_scale,shock_multiplier,baseline_stable
seed_000_Brazil_orderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Brazil,orderly_transition,p30,1.0,0.75,True
seed_000_Brazil_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Brazil,disorderly_transition,p30,1.0,0.75,True
seed_000_Brazil_severe_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Brazil,severe_disorderly_transition,p30,1.0,0.75,True
seed_000_Brazil_acute_physical_risk_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Brazil,acute_physical_risk,p30,1.0,0.75,True
seed_000_Brazil_combined_transition_physical_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Brazil,combined_transition_physical,p30,1.0,0.75,True
seed_000_Germany_orderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Germany,orderly_transition,p30,1.0,0.75,True
seed_000_Germany_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Germany,disorderly_transition,p30,1.0,0.75,True
seed_000_Germany_severe_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Germany,severe_disorderly_transition,p30,1.0,0.75,True
seed_000_Germany_acute_physical_risk_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Germany,acute_physical_risk,p30,1.0,0.75,True
seed_000_Germany_combined_transition_physical_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Germany,combined_transition_physical,p30,1.0,0.75,True
seed_000_Italy_orderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Italy,orderly_transition,p30,1.0,0.75,True
seed_000_Italy_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Italy,disorderly_transition,p30,1.0,0.75,True
seed_000_Italy_severe_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Italy,severe_disorderly_transition,p30,1.0,0.75,True
seed_000_Italy_acute_physical_risk_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Italy,acute_physical_risk,p30,1.0,0.75,True
seed_000_Italy_combined_transition_physical_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Italy,combined_transition_physical,p30,1.0,0.75,True
seed_000_Spain_orderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Spain,orderly_transition,p30,1.0,0.75,True
seed_000_Spain_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Spain,disorderly_transition,p30,1.0,0.75,True
seed_000_Spain_severe_disorderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Spain,severe_disorderly_transition,p30,1.0,0.75,True
seed_000_Spain_acute_physical_risk_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Spain,acute_physical_risk,p30,1.0,0.75,True
seed_000_Spain_combined_transition_physical_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Spain,combined_transition_physical,p30,1.0,0.75,True
seed_000_Ukraine_orderly_transition_p30_ibx1_0_shockx0_75_no_liquidity_uniform_sector_distribution,seed_000,Ukraine,orderly_transition,p30,1.0,0.75,True
