interbank_liability_scale,density_label,candidate_configurations,retained_configurations,retention_rate,excluded_configurations,excluded_firm_default,excluded_bank_payment_default,excluded_capital_breach,excluded_failed_bank,n_seeds
0.0,p05,20,20,1.0,0,0,0,0,0,20
0.0,p15,20,20,1.0,0,0,0,0,0,20
0.0,p30,20,20,1.0,0,0,0,0,0,20
0.0,p50,20,20,1.0,0,0,0,0,0,20
0.5,p05,20,18,0.9,2,0,2,0,2,20
0.5,p15,20,19,0.95,1,0,1,0,1,20
0.5,p30,20,20,1.0,0,0,0,0,0,20
0.5,p50,20,20,1.0,0,0,0,0,0,20
1.0,p05,20,9,0.45,11,0,11,2,11,20
1.0,p15,20,16,0.8,4,0,4,0,4,20
1.0,p30,20,18,0.9,2,0,2,0,2,20
1.0,p50,20,19,0.95,1,0,1,0,1,20
1.5,p05,20,1,0.05,19,0,19,13,19,20
1.5,p15,20,8,0.4,12,0,12,7,12,20
1.5,p30,20,15,0.75,5,0,5,2,5,20
1.5,p50,20,13,0.65,7,0,7,0,7,20
2.0,p05,20,0,0.0,20,0,20,18,20,20
2.0,p15,20,2,0.1,18,0,18,15,18,20
2.0,p30,20,3,0.15,17,0,17,7,17,20
2.0,p50,20,7,0.35,13,0,13,4,13,20
3.0,p05,20,0,0.0,20,0,20,20,20,20
3.0,p15,20,0,0.0,20,0,20,19,20,20
3.0,p30,20,0,0.0,20,0,20,16,20,20
3.0,p50,20,2,0.1,18,0,18,13,18,20
