model,graph_id,country,seed_id,scenario_name,density_label,liquidity_label,bank_id,target,prediction,absolute_error,squared_error,model_name,display_model
model_a,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B012,9.30349826812744,6.595915794372559,2.707582473754883,7.331002712249756,model_a,"GNN A: company-bank, 1-layer"
model_a,seed_008_Germany_combined_transition_physical_p30_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p30,no_liquidity,B012,9.30349826812744,6.6021728515625,2.7013254165649414,7.297159194946289,model_a,"GNN A: company-bank, 1-layer"
model_c_full,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,3.074350357055664,0.3987129032611847,2.6756374835968018,7.159036159515381,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_b,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,3.074350357055664,0.4043509662151336,2.669999361038208,7.128896713256836,model_b,"GNN B: reverse edges, 2-layer"
model_a,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,3.074350357055664,0.6314277648925781,2.442922592163086,5.967870712280273,model_a,"GNN A: company-bank, 1-layer"
model_b,seed_008_Spain_combined_transition_physical_p15_shockx1_5_no_liquidity,Spain,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.211378574371338,0.2927992343902588,1.918579339981079,3.6809465885162354,model_b,"GNN B: reverse edges, 2-layer"
model_c_full,seed_008_Spain_combined_transition_physical_p15_shockx1_5_no_liquidity,Spain,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.211378574371338,0.3098834753036499,1.901495099067688,3.6156835556030273,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_b,seed_008_Germany_combined_transition_physical_p30_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p30,no_liquidity,B012,9.30349826812744,7.447082996368408,1.8564152717590328,3.446277618408203,model_b,"GNN B: reverse edges, 2-layer"
model_c_full,seed_008_Germany_combined_transition_physical_p30_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p30,no_liquidity,B012,9.30349826812744,7.474952220916748,1.8285460472106931,3.343580722808838,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_b,seed_008_Germany_combined_transition_physical_p15_shockx1_25_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.016636848449707,0.2436245381832122,1.7730122804641724,3.1435725688934326,model_b,"GNN B: reverse edges, 2-layer"
model_c_full,seed_008_Germany_combined_transition_physical_p15_shockx1_25_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.016636848449707,0.2697633504867553,1.7468734979629517,3.0515670776367188,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_b,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B012,9.30349826812744,7.572629451751709,1.7308688163757324,2.9959068298339844,model_b,"GNN B: reverse edges, 2-layer"
model_c_full,seed_008_Germany_combined_transition_physical_p15_shockx1_5_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B012,9.30349826812744,7.578252792358398,1.725245475769043,2.9764719009399414,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_a,seed_008_Spain_combined_transition_physical_p15_shockx1_5_no_liquidity,Spain,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.211378574371338,0.5059556365013123,1.7054228782653809,2.9084672927856445,model_a,"GNN A: company-bank, 1-layer"
model_a,seed_008_Germany_combined_transition_physical_p15_shockx1_25_no_liquidity,Germany,seed_008,combined_transition_physical,p15,no_liquidity,B017,2.016636848449707,0.4392959475517273,1.577340841293335,2.488004207611084,model_a,"GNN A: company-bank, 1-layer"
model_a,seed_008_Spain_combined_transition_physical_p15_shockx1_5_no_liquidity,Spain,seed_008,combined_transition_physical,p15,no_liquidity,B012,7.266918659210205,5.70357084274292,1.5633478164672852,2.444056510925293,model_a,"GNN A: company-bank, 1-layer"
model_a,seed_008_Spain_combined_transition_physical_p30_shockx1_5_no_liquidity,Spain,seed_008,combined_transition_physical,p30,no_liquidity,B012,7.266918659210205,5.750034332275391,1.5168843269348145,2.300938129425049,model_a,"GNN A: company-bank, 1-layer"
model_b,seed_008_Ukraine_combined_transition_physical_p15_shockx1_5_no_liquidity,Ukraine,seed_008,combined_transition_physical,p15,no_liquidity,B017,1.8073909282684328,0.3167595565319061,1.490631341934204,2.2219817638397217,model_b,"GNN B: reverse edges, 2-layer"
model_c_full,seed_008_Ukraine_combined_transition_physical_p15_shockx1_5_no_liquidity,Ukraine,seed_008,combined_transition_physical,p15,no_liquidity,B017,1.8073909282684328,0.32881760597229,1.4785733222961426,2.1861791610717773,model_c_full,"GNN C: sector-company-bank, 2-layer"
model_a,seed_003_Germany_combined_transition_physical_p30_shockx1_5_no_liquidity,Germany,seed_003,combined_transition_physical,p30,no_liquidity,B013,5.860883712768555,4.398557186126709,1.4623265266418457,2.1383988857269287,model_a,"GNN A: company-bank, 1-layer"
