country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Brazil,fossil_fuels,orderly_transition,0.0,0.1,0.0,0.0,0.1,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12459820224719115,0.12459820224719115,0.0
Brazil,fossil_fuels,disorderly_transition,0.0,0.1,0.0,0.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5811011235955063,0.24081842696629238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24081842696629238,0.24081842696629238,0.0
Brazil,fossil_fuels,severe_disorderly_transition,0.0,0.1,0.0,0.0,0.1,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.8869438202247202,0.35703865168539367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35703865168539367,0.35703865168539367,0.0
Brazil,fossil_fuels,acute_physical_risk,0.0,0.1,0.0,0.0,0.1,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.030584269662921385,0.03162202247191013,0.0,0.0,1.0,0.03162202247191013,0.0,0.0,0.0,0.0,0.0,0.0,0.03162202247191013,0.0
Brazil,fossil_fuels,combined_transition_physical,0.0,0.1,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.1,0.0,0.0,1.0,1.1,0.6422696629213491,0.2640624719101127,0.0,0.0,0.09090909090909091,0.0240056792645557,0.0,0.0,0.0,0.0,0.9090909090909091,0.24005679264555696,0.2640624719101127,0.0
Brazil,utilities,orderly_transition,0.0,0.5,0.0,0.0,0.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.21408988764044973,0.1013541573033709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1013541573033709,0.1013541573033709,0.0
Brazil,utilities,disorderly_transition,0.0,0.5,0.0,0.0,0.5,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4587640449438208,0.19433033707865188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19433033707865188,0.19433033707865188,0.0
Brazil,utilities,severe_disorderly_transition,0.0,0.5,0.0,0.0,0.5,0.8,0.0,1.5,0.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.7034382022471919,0.28730651685393294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28730651685393294,0.28730651685393294,0.0
Brazil,utilities,acute_physical_risk,0.0,0.5,0.0,0.0,0.5,0.8,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,1.0,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.12459820224719115,0.0
Brazil,utilities,combined_transition_physical,0.0,0.5,0.0,0.0,0.5,0.8,1.0,1.0,0.0,0.5,0.0,0.0,0.8,1.3,0.7646067415730347,0.3105505617977532,0.0,0.0,0.3846153846153846,0.1194425237683666,0.0,0.0,0.0,0.0,0.6153846153846154,0.19110803802938658,0.3105505617977532,0.0
