country,year,tas,pr
Brazil,1950,24.29,1716.47
Brazil,1951,24.39,1563.72
Brazil,1952,24.3,1807.1
Brazil,1953,24.45,1788.5
Brazil,1954,24.35,1632.65
Brazil,1955,24.26,1657.92
Brazil,1956,23.73,1829.41
Brazil,1957,24.57,1678.68
Brazil,1958,25.01,1584.56
Brazil,1959,24.59,1711.3
Brazil,1960,24.29,1818.8
Brazil,1961,24.97,1451.9
Brazil,1962,24.24,1735.01
Brazil,1963,24.9,1502.39
Brazil,1964,24.0,1789.73
Brazil,1965,24.18,1866.77
Brazil,1966,24.19,1846.02
Brazil,1967,24.25,1667.75
Brazil,1968,23.9,1646.32
Brazil,1969,24.77,1437.25
Brazil,1970,24.47,1724.81
Brazil,1971,23.95,1891.74
Brazil,1972,24.46,1814.96
Brazil,1973,24.52,1926.14
Brazil,1974,23.84,1962.82
Brazil,1975,23.99,1804.77
Brazil,1976,24.04,1870.0
Brazil,1977,24.36,1932.12
Brazil,1978,24.19,1896.29
Brazil,1979,24.24,1862.89
Brazil,1980,24.5,1810.79
Brazil,1981,24.37,1716.11
Brazil,1982,24.5,1797.6
Brazil,1983,24.78,1820.63
Brazil,1984,24.39,1896.22
Brazil,1985,24.15,2027.78
Brazil,1986,24.34,1900.54
Brazil,1987,24.95,1739.53
Brazil,1988,24.56,1904.89
Brazil,1989,24.23,2049.38
Brazil,1990,24.65,1709.53
Brazil,1991,24.55,1791.21
Brazil,1992,24.51,1820.51
Brazil,1993,24.68,1774.4
Brazil,1994,24.7,1875.79
Brazil,1995,24.79,1850.17
Brazil,1996,24.55,1901.27
Brazil,1997,24.87,1791.11
Brazil,1998,25.35,1724.86
Brazil,1999,24.58,1871.45
Brazil,2000,24.47,1919.08
Brazil,2001,24.79,1764.28
Brazil,2002,25.2,1714.24
Brazil,2003,24.98,1709.92
Brazil,2004,24.85,1805.91
Brazil,2005,25.17,1776.01
Brazil,2006,24.94,1811.34
Brazil,2007,25.14,1675.52
Brazil,2008,24.79,1897.32
Brazil,2009,25.01,1967.4
Brazil,2010,25.33,1685.3
Brazil,2011,24.9,1906.61
Brazil,2012,25.17,1638.81
Brazil,2013,25.06,1873.1
Brazil,2014,25.17,1758.39
Brazil,2015,25.69,1609.85
Brazil,2016,25.57,1741.58
Brazil,2017,25.39,1748.23
Brazil,2018,25.1,1800.4
Brazil,2019,25.53,1671.08
Brazil,2020,25.2,1666.41
Brazil,2021,24.98,1771.78
Brazil,2022,24.8,1699.81
Brazil,2023,25.55,1428.39
Brazil,2024,25.79,1481.98
Germany,1950,8.75,791.88
Germany,1951,8.88,760.51
Germany,1952,8.04,829.78
Germany,1953,9.1,641.4
Germany,1954,7.83,887.56
Germany,1955,7.6,779.48
Germany,1956,6.94,854.31
Germany,1957,8.71,799.88
Germany,1958,8.35,911.98
Germany,1959,9.22,590.22
Germany,1960,8.68,895.71
Germany,1961,9.23,883.1
Germany,1962,7.45,763.52
Germany,1963,7.43,725.66
Germany,1964,8.4,731.59
Germany,1965,7.83,1071.8
Germany,1966,8.79,1028.34
Germany,1967,9.2,950.08
Germany,1968,8.4,915.98
Germany,1969,8.03,832.6
Germany,1970,7.97,1001.24
Germany,1971,8.75,713.13
Germany,1972,8.08,800.02
Germany,1973,8.5,819.59
Germany,1974,9.07,976.07
Germany,1975,9.14,770.06
Germany,1976,8.73,682.28
Germany,1977,8.9,920.5
Germany,1978,8.01,883.81
Germany,1979,7.87,910.31
Germany,1980,7.76,939.07
Germany,1981,8.36,1080.57
Germany,1982,8.98,801.19
Germany,1983,9.11,874.52
Germany,1984,8.0,912.34
Germany,1985,7.53,848.13
Germany,1986,8.03,954.82
Germany,1987,7.47,976.33
Germany,1988,9.13,967.58
Germany,1989,9.56,773.19
Germany,1990,9.51,847.94
Germany,1991,8.37,721.2
Germany,1992,9.33,847.55
Germany,1993,8.52,961.25
Germany,1994,9.81,945.57
Germany,1995,8.98,932.06
Germany,1996,7.24,752.48
Germany,1997,8.96,802.15
Germany,1998,9.11,997.58
Germany,1999,9.57,919.65
Germany,2000,9.91,918.58
Germany,2001,9.09,1010.07
Germany,2002,9.62,1063.64
Germany,2003,9.54,638.19
Germany,2004,9.07,863.05
Germany,2005,9.2,844.82
Germany,2006,9.75,818.2
Germany,2007,10.05,1037.24
Germany,2008,9.67,871.47
Germany,2009,9.39,901.1
Germany,2010,8.04,971.99
Germany,2011,9.84,794.31
Germany,2012,9.28,895.98
Germany,2013,8.9,909.5
Germany,2014,10.5,859.13
Germany,2015,10.13,804.41
Germany,2016,9.69,838.37
Germany,2017,9.75,954.83
Germany,2018,10.68,663.27
Germany,2019,10.44,853.0
Germany,2020,10.55,822.78
Germany,2021,9.28,988.48
Germany,2022,10.65,825.59
Germany,2023,10.75,1034.85
Germany,2024,10.96,1003.33
Italy,1950,12.77,801.14
Italy,1951,12.23,1180.77
Italy,1952,12.5,854.86
Italy,1953,12.3,938.92
Italy,1954,11.69,987.58
Italy,1955,12.38,963.96
Italy,1956,11.34,901.83
Italy,1957,12.19,1028.66
Italy,1958,12.34,1014.57
Italy,1959,12.35,1072.19
Italy,1960,12.39,1240.81
Italy,1961,12.99,871.61
Italy,1962,12.05,961.8
Italy,1963,11.62,1191.33
Italy,1964,12.05,1049.0
Italy,1965,11.61,1067.79
Italy,1966,12.09,1208.46
Italy,1967,12.24,946.5
Italy,1968,11.96,1140.04
Italy,1969,11.81,1104.62
Italy,1970,12.06,953.76
Italy,1971,11.97,1054.46
Italy,1972,11.85,1366.67
Italy,1973,12.05,1023.48
Italy,1974,12.01,1008.65
Italy,1975,12.13,1045.27
Italy,1976,11.7,1236.91
Italy,1977,12.29,1066.9
Italy,1978,11.59,1128.55
Italy,1979,11.93,1215.62
Italy,1980,11.35,1048.05
Italy,1981,11.91,1001.85
Italy,1982,12.56,988.92
Italy,1983,12.28,879.69
Italy,1984,11.54,1101.19
Italy,1985,12.14,928.14
Italy,1986,12.19,967.25
Italy,1987,12.29,986.34
Italy,1988,12.63,872.43
Italy,1989,12.32,824.65
Italy,1990,12.68,893.91
Italy,1991,11.85,915.09
